"","Regija","Leto","Glavno mesto","Povrsina","Populacija","GDP"
"1","Baden-Württemberg","1952","Stuttgart","35752","11069533","496867.06"
"2","Bavaria","1949","Munich","70552","13076721","59904.46"
"3","Berlin","1990","Berlin","892","3644826","138620.02"
"4","Brandenburg","1990","Potsdam","29479","2511917","69517.3"
"5","Bremen","1949","Bremen","419","682986","3385.56"
"6","Hamburg","1949","Hamburg","755","1841179","118895.98"
"7","Hesse","1949","Wiesbaden","21115","6265809","280733.31"
"8","Lower Saxony","1949","Hanover","47609","7982448","288677.25"
"9","Mecklenburg-Vorpommern","1990","Schwerin","2318","1609675","4275.3"
"10","North Rhine-Westphalia","1949","Düsseldorf","34085","17932651","693007.3"
"11","Rhineland-Palatinate","1949","Mainz","19853","4084844","144828.14"
"12","Saarland","1957","Saarbrücken","2569","990509","3512.34"
"13","Saxony","1990","Dresden","18416","4077937","121750.89"
"14","Saxony-Anhalt","1990","Magdeburg","20446","2208321","60112.71"
"15","Schleswig-Holstein","1949","Kiel","15799","2896712","93685.46"
"16","Thuringia","1990","Erfurt","16172","2143145","61608.99"
